,species,country_of_origin,altitude_mean_meters,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,clean_cup,quakers,category_one_defects,category_two_defects,total_cup_points
186,Arabica,Mexico,1700.0,2012,Washed,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,0.12,10.0,0,0,1,84.33
187,Arabica,Brazil,1275.0,2011,Natural,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,0.0,10.0,0,0,4,84.33
188,Arabica,Brazil,1050.0,2011,Natural,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,0.02,10.0,0,0,2,84.33
189,Arabica,Ethiopia,455.224896,,Natural,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,0.0,10.0,0,0,1,84.33
190,Arabica,Guatemala,422.708832,2009,Washed,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,0.04,10.0,0,1,1,84.33
191,Arabica,Taiwan,1000.0,2016,Washed,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,0.12,10.0,0,0,0,84.25
192,Arabica,Thailand,1200.0,2015,Natural,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,0.12,10.0,0,0,0,84.25
193,Arabica,Colombia,2560.0,2016,Natural,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,0.11,10.0,0,0,2,84.25
194,Arabica,Guatemala,1500.0,2016,Washed,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,0.11,10.0,4,0,4,84.25
195,Arabica,Guatemala,335.10126528000006,2015,Washed,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,0.1,10.0,0,0,1,84.25
196,Arabica,China,1400.0,2015,Natural,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,0.1,10.0,0,0,1,84.25
197,Arabica,Colombia,1775.0,2015,Washed,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,0.11,10.0,0,0,3,84.25
198,Arabica,Colombia,1775.0,2015,Washed,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,0.12,10.0,0,4,2,84.25
199,Arabica,Colombia,1800.0,2015,Washed,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,0.12,10.0,0,0,0,84.25
200,Arabica,Colombia,442.0,2015,Natural,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,0.12,10.0,0,3,0,84.25
201,Arabica,"Tanzania, United Republic Of",1620.0,2014,Washed,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,0.12,10.0,0,0,7,84.25
202,Arabica,"Tanzania, United Republic Of",1600.0,2014,Washed,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,0.12,10.0,0,0,2,84.25
203,Arabica,Guatemala,371.61216,2014,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,0.1,10.0,0,0,1,84.25
204,Arabica,Colombia,1700.0,2013,Washed,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,0.11,10.0,0,0,2,84.25
205,Arabica,United States (Hawaii),,2012,Natural,7.33,7.92,7.92,7.92,7.92,8.08,10.0,9.33,0.11,10.0,0,1,1,84.25
206,Arabica,Mexico,1450.0,2012,Semi-washed,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,0.12,10.0,0,0,1,84.25
207,Arabica,Mexico,1170.0,2012,Washed,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,0.12,10.0,0,0,0,84.25
208,Arabica,Mexico,1400.0,2012,Washed,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,0.1,10.0,0,0,4,84.25
209,Arabica,Uganda,1700.0,2012,Natural,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,0.13,10.0,0,4,29,84.25
210,Arabica,Guatemala,1700.0,2017,Washed,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,0.13,10.0,0,0,1,84.17
211,Arabica,Colombia,,2016,Washed,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,0.0,10.0,0,0,2,84.17
212,Arabica,Costa Rica,1700.0,2016,Washed,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,0.09,10.0,0,0,2,84.17
213,Arabica,Guatemala,340.39673856,2016,Washed,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,0.11,10.0,0,0,6,84.17
214,Arabica,Guatemala,1565.0,2016,Washed,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,0.1,10.0,1,0,10,84.17
215,Arabica,Guatemala,448.25716800000004,2016,Washed,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,0.1,10.0,0,0,2,84.17
216,Arabica,Colombia,1775.0,2015,Washed,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,0.0,10.0,0,0,0,84.17
217,Arabica,Nicaragua,1000.0,2015,Natural,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,0.12,10.0,0,0,0,84.17
218,Arabica,Brazil,1150.0,2015,Natural,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,0.0,10.0,0,0,16,84.17
219,Arabica,Costa Rica,1850.0,2014,Washed,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,0.0,10.0,0,0,0,84.17
220,Arabica,Ethiopia,1606.5,2014,Natural,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,0.1,10.0,0,0,5,84.17
221,Arabica,"Tanzania, United Republic Of",1400.0,2014,Washed,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,0.13,10.0,0,0,0,84.17
222,Arabica,Colombia,1530.0,2014,Washed,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,0.12,10.0,0,0,4,84.17
223,Arabica,Guatemala,,2013,Washed,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,0.11,10.0,0,0,0,84.17
224,Arabica,Kenya,250.5,2013,Washed,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,0.08,10.0,0,0,0,84.17
225,Arabica,Brazil,1038.5,2012,Natural,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,0.11,10.0,0,0,3,84.17
226,Arabica,Guatemala,399.48307200000005,2013,Washed,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,0.11,10.0,0,0,4,84.17
227,Arabica,El Salvador,1500.0,2013,Natural,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,0.11,10.0,0,0,2,84.17
228,Arabica,Colombia,1750.0,2012,Washed,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,0.0,10.0,0,0,2,84.17
229,Arabica,Guatemala,,2012,Natural,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,0.11,10.0,0,0,2,84.17
230,Arabica,Uganda,1600.0,2012,Washed,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,0.11,10.0,0,0,1,84.17
231,Arabica,Indonesia,,2017,Natural,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,0.12,10.0,0,0,0,84.13
232,Arabica,Colombia,442.0,2017,Washed,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,0.0,10.0,3,1,3,84.08
233,Arabica,Taiwan,968.0,2016,Washed,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,0.1,10.0,0,0,4,84.08
234,Arabica,Guatemala,,2016,Washed,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,0.1,10.0,0,0,4,84.08
235,Arabica,Colombia,1775.0,2014,Washed,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,0.0,10.0,0,0,2,84.08
236,Arabica,Guatemala,1550.0,2014,Washed,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,0.1,10.0,0,0,10,84.08
237,Arabica,United States (Hawaii),,2012,Natural,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,0.11,10.0,0,1,9,84.08
238,Arabica,Mexico,1480.0,2012,Washed,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,0.11,10.0,0,1,10,84.08
239,Arabica,Ethiopia,1800.0,2012,Natural,7.92,7.92,7.83,8.0,7.92,7.92,10.0,8.67,0.09,10.0,0,0,15,84.08
240,Arabica,Costa Rica,,2017,Washed,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,0.08,10.0,2,1,13,84.0
241,Arabica,Ethiopia,1800.0,2017,Natural,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,0.11,10.0,11,3,1,84.0
242,Arabica,Honduras,1500.0,2017,Washed,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,0.1,10.0,0,0,5,84.0
243,Arabica,Guatemala,520.2570240000001,2015,Washed,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,0.12,10.0,0,0,7,84.0
244,Arabica,Colombia,1600.0,2014,Washed,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,0.11,10.0,0,2,7,84.0
245,Arabica,Guatemala,371.61216,2014,Natural,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,0.1,10.0,0,0,1,84.0
246,Arabica,Guatemala,371.61216,2014,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,0.1,10.0,0,0,0,84.0
247,Arabica,Colombia,1480.0,2014,Washed,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,0.12,10.0,0,0,0,84.0
248,Arabica,Colombia,1450.0,2014,Natural,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,0.12,10.0,0,0,0,84.0
249,Arabica,Colombia,1775.0,2014,Washed,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,0.12,10.0,0,0,3,84.0
250,Arabica,Ethiopia,1550.0,2013,Natural,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,0.09,10.0,0,4,40,84.0
251,Arabica,Brazil,1260.0,2013,Natural,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,0.1,10.0,0,0,0,84.0
252,Arabica,Colombia,1700.0,2013,Washed,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,0.11,10.0,0,0,1,84.0
253,Arabica,Kenya,1200.0,2012,Washed,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,0.0,10.0,0,0,2,84.0
254,Arabica,Thailand,,2012,Washed,7.92,8.17,8.17,8.42,8.08,8.17,8.67,9.33,0.12,8.67,0,0,0,84.0
255,Arabica,Kenya,1650.0,2012,Washed,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,0.0,10.0,0,0,0,84.0
256,Arabica,Uganda,1700.0,2012,Washed,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,0.1,10.0,0,10,26,84.0
257,Arabica,Thailand,,2011,Washed,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,0.06,10.0,0,0,0,84.0
258,Arabica,Brazil,890.0,2017,Natural,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,0.0,10.0,0,0,3,83.92
259,Arabica,Mexico,1300.0,2017,Washed,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,0.11,10.0,0,0,5,83.92
260,Arabica,Thailand,1350.0,2015,Natural,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,0.1,10.0,0,0,1,83.92
261,Arabica,Brazil,934.0,2016,Natural,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,0.11,10.0,2,0,7,83.92
262,Arabica,Taiwan,1200.0,2015,Washed,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,0.11,10.0,0,0,3,83.92
263,Arabica,Colombia,442.0,2016,Washed,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,0.11,10.0,0,1,2,83.92
264,Arabica,Colombia,,2016,Washed,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,0.0,10.0,3,1,5,83.92
265,Arabica,Taiwan,,2014,Natural,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,0.0,10.0,0,0,0,83.92
266,Arabica,Colombia,,2015,Washed,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,0.0,10.0,0,0,0,83.92
267,Arabica,Colombia,,2014,Washed,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,0.0,10.0,0,1,1,83.92
268,Arabica,Colombia,1775.0,2014,Washed,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,0.0,10.0,0,0,1,83.92
269,Arabica,Taiwan,950.0,2014,Washed,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,0.06,10.0,0,0,0,83.92
270,Arabica,Colombia,1550.0,2014,Natural,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,0.12,10.0,0,0,3,83.92
271,Arabica,Mexico,900.0,2012,Washed,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,0.12,10.0,0,10,32,83.92
272,Arabica,Mexico,1500.0,2012,Washed,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,0.11,10.0,0,0,2,83.92
273,Arabica,Mexico,1400.0,2012,Washed,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,0.0,10.0,0,0,2,83.92
274,Arabica,Colombia,2527.0,2017,Washed,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,0.0,10.0,0,1,6,83.83
275,Arabica,Colombia,,2016,Washed,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,0.0,10.0,2,1,0,83.83
276,Arabica,Costa Rica,1850.0,2015,Washed,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,0.0,10.0,0,0,0,83.83
277,Arabica,Guatemala,1500.0,2016,Washed,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,0.11,10.0,7,0,6,83.83
278,Arabica,Taiwan,1200.0,2016,Washed,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,0.0,10.0,0,0,0,83.83
279,Arabica,Brazil,1.0,2015,Natural,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,0.0,10.0,0,0,0,83.83
280,Arabica,Taiwan,525.0,2014,Washed,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,0.0,10.0,0,0,1,83.83
281,Arabica,Ethiopia,1676.5,2014,Natural,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,0.12,10.0,0,0,4,83.83
282,Arabica,Brazil,1200.0,2014,Semi-washed,7.67,7.67,7.58,7.5,7.83,8.17,10.0,9.33,0.0,10.0,0,0,1,83.83
283,Arabica,Costa Rica,1300.0,2013,Washed,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,0.1,10.0,0,0,3,83.83
284,Arabica,Guatemala,371.61216,2014,Washed,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,0.1,10.0,0,0,1,83.83
285,Arabica,Brazil,1260.0,2013,Natural,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,0.1,10.0,0,0,0,83.83
286,Arabica,Ecuador,800.0,2013,Natural,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,0.09,10.0,0,0,0,83.83
287,Arabica,Colombia,1750.0,2013,Washed,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,0.11,10.0,0,0,1,83.83
288,Arabica,Guatemala,399.48307200000005,2013,Washed,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,0.11,10.0,0,0,3,83.83
289,Arabica,Mexico,1218.0,2012,Natural,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,0.1,10.0,0,0,2,83.83
290,Arabica,Mexico,1300.0,2012,Natural,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,0.11,10.0,0,0,4,83.83
291,Arabica,Brazil,1250.0,2011,Semi-washed,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,0.12,10.0,0,0,3,83.83
292,Arabica,Thailand,457.17585984000004,2011,Washed,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,0.02,10.0,0,0,2,83.83
293,Arabica,Thailand,,2011,Washed,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,0.01,10.0,0,0,0,83.83
294,Arabica,Ethiopia,,2010,Washed,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,0.1,10.0,0,0,3,83.83
295,Arabica,Kenya,1800.0,,Washed,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,0.11,10.0,0,0,2,83.75
296,Arabica,Brazil,890.0,2017,Natural,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,0.11,10.0,0,0,5,83.75
297,Arabica,Colombia,442.0,2017,Washed,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,0.11,10.0,0,0,1,83.75
298,Arabica,Taiwan,750.0,2016,Natural,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,0.0,10.0,0,0,0,83.75
299,Arabica,Colombia,,2016,Washed,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,0.0,10.0,0,1,4,83.75
300,Arabica,China,1650.0,2015,Washed,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,0.1,10.0,1,0,2,83.75
301,Arabica,Colombia,442.0,2015,Natural,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,0.0,10.0,0,0,0,83.75
302,Arabica,Uganda,1400.0,2013,Natural,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,0.12,10.0,0,0,0,83.75
303,Arabica,United States (Puerto Rico),260.12851200000006,2013,Washed,7.83,7.83,7.83,7.67,8.0,8.17,9.33,10.0,0.12,9.33,0,0,1,83.75
304,Arabica,Colombia,1775.0,2014,Washed,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,0.0,10.0,0,0,5,83.75
305,Arabica,Colombia,1550.0,2014,Washed,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,0.0,10.0,0,0,3,83.75
306,Arabica,Colombia,1750.0,2013,Washed,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,0.0,10.0,0,0,1,83.75
307,Arabica,Colombia,1750.0,2013,Washed,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,0.11,10.0,0,0,3,83.75
308,Arabica,United States (Hawaii),,2013,Natural,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,0.0,10.0,0,0,0,83.75
309,Arabica,Mexico,700.0,2012,Natural,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,0.13,10.0,0,5,5,83.75
310,Arabica,Guatemala,1300.0,2012,Washed,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,0.11,10.0,0,0,1,83.75
311,Arabica,Colombia,1600.0,2011,Washed,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,0.1,10.0,0,0,1,83.75
312,Arabica,Colombia,1600.0,,Washed,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,0.06,10.0,0,0,1,83.75
313,Arabica,United States (Hawaii),,,Washed,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,0.0,10.0,0,0,0,83.75
314,Arabica,Brazil,890.0,2017,Natural,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,0.11,10.0,0,0,2,83.67
315,Arabica,Kenya,1700.0,2017,Washed,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,0.11,10.0,0,0,0,83.67
316,Arabica,Honduras,1400.0,2016,Washed,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,0.1,10.0,0,0,2,83.67
317,Arabica,Nicaragua,1250.0,2016,Washed,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,0.1,10.0,0,0,3,83.67
318,Arabica,Brazil,934.0,2016,Natural,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,0.11,10.0,2,0,3,83.67
319,Arabica,Taiwan,1200.0,2015,Natural,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,0.1,10.0,0,0,0,83.67
320,Arabica,Costa Rica,1350.0,,Other,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,0.11,10.0,0,0,1,83.67
321,Arabica,Thailand,800.0,2014,Washed,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,0.12,10.0,0,0,0,83.67
322,Arabica,Colombia,1625.0,2014,Washed,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,0.11,10.0,0,0,4,83.67
323,Arabica,Guatemala,413.51143104000005,2014,Washed,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,0.1,10.0,0,0,0,83.67
324,Arabica,Colombia,1750.0,2013,Washed,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,0.0,10.0,0,0,3,83.67
325,Arabica,Colombia,1900.0,2013,Washed,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,0.0,10.0,0,0,1,83.67
326,Arabica,Guatemala,399.48307200000005,2013,Washed,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,0.12,10.0,0,1,3,83.67
327,Arabica,Guatemala,399.48307200000005,2013,Washed,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,0.11,10.0,0,0,2,83.67
328,Arabica,Colombia,1750.0,2012,Washed,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,0.11,10.0,0,0,1,83.67
329,Arabica,Guatemala,1450.0,2012,Natural,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,0.11,9.33,0,0,1,83.67
330,Arabica,Guatemala,399.48307200000005,2012,Washed,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,0.11,10.0,0,0,13,83.67
331,Arabica,Mexico,1100.0,2012,Washed,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,0.12,10.0,0,4,11,83.67
332,Arabica,Indonesia,1400.0,2012,Washed,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,0.12,10.0,0,0,0,83.67
333,Arabica,Guatemala,464.51520000000005,2012,Washed,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,0.1,10.0,0,0,0,83.67
334,Arabica,United States (Hawaii),,,Natural,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,0.0,9.33,0,0,0,83.67
335,Arabica,Brazil,890.0,2017,Natural,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,0.11,10.0,0,0,5,83.58
336,Arabica,Guatemala,343.92705408,2016,Washed,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,0.11,10.0,1,0,0,83.58
337,Arabica,Colombia,,2016,Washed,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,0.11,10.0,0,0,4,83.58
338,Arabica,China,1100.0,2015,Washed,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,0.1,10.0,1,0,4,83.58
339,Arabica,Colombia,1775.0,2015,Washed,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,0.12,10.0,0,0,3,83.58
340,Arabica,Mexico,1200.0,2014,Washed,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,0.12,10.0,0,1,13,83.58
341,Arabica,Ethiopia,1850.0,2014,Washed,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,0.0,10.0,0,0,7,83.58
342,Arabica,Uganda,1800.0,2013,Washed,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,0.12,10.0,0,0,5,83.58
343,Arabica,Colombia,1600.0,2014,Natural,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,0.0,10.0,0,0,0,83.58
344,Arabica,Colombia,1550.0,2014,Washed,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,0.12,10.0,0,0,1,83.58
345,Arabica,Colombia,1550.0,2014,Washed,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,0.0,10.0,0,0,0,83.58
346,Arabica,Taiwan,1000.0,2013,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,0.11,10.0,0,0,0,83.58
347,Arabica,Colombia,1775.0,2012,Washed,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,0.11,10.0,0,0,3,83.58
348,Arabica,Mexico,1000.0,2012,Washed,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,0.12,10.0,0,0,2,83.58
349,Arabica,Colombia,2136.0,2012,Natural,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,0.11,10.0,0,0,4,83.58
350,Arabica,Brazil,1100.0,2012,Semi-washed,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,0.12,10.0,0,0,2,83.58
351,Arabica,Colombia,1799.0,2016,Washed,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,0.0,10.0,0,0,5,83.5
352,Arabica,Taiwan,,2016,Semi-washed,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,0.11,10.0,0,0,0,83.5
353,Arabica,Costa Rica,1850.0,2015,Washed,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,0.0,10.0,0,0,0,83.5
354,Arabica,Colombia,1000.0,2016,Natural,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,0.0,10.0,0,0,0,83.5
355,Arabica,Guatemala,371.61216,2016,Washed,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,0.1,10.0,2,0,5,83.5
356,Arabica,Colombia,1775.0,2015,Washed,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,0.12,10.0,0,0,4,83.5
357,Arabica,"Tanzania, United Republic Of",1400.0,2015,Washed,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,0.13,10.0,0,0,21,83.5
358,Arabica,Indonesia,1500.0,2015,Semi-washed,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,0.13,10.0,0,0,8,83.5
359,Arabica,Ethiopia,1600.0,2014,Natural,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,0.1,10.0,0,1,18,83.5
360,Arabica,Colombia,,2014,Washed,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,0.0,10.0,0,1,0,83.5
361,Arabica,Colombia,1850.0,2014,Washed,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,0.11,10.0,0,0,0,83.5
362,Arabica,Guatemala,1400.0,2013,Washed,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,0.1,10.0,0,0,0,83.5
363,Arabica,Colombia,1650.0,2014,Washed,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,0.0,10.0,0,2,0,83.5
364,Arabica,Honduras,1350.0,2014,Natural,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,0.1,10.0,0,0,3,83.5
365,Arabica,Colombia,1750.0,2013,Washed,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,0.0,10.0,0,1,1,83.5
366,Arabica,Colombia,1750.0,2013,Washed,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,0.11,10.0,0,0,2,83.5
367,Arabica,Mexico,1170.0,2012,Natural,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,0.13,10.0,0,0,14,83.5
368,Arabica,Mexico,940.0,2012,Semi-washed,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,0.11,10.0,0,0,12,83.5
369,Arabica,Mexico,1400.0,2012,Washed,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,0.12,10.0,0,0,0,83.5
370,Arabica,Guatemala,464.51520000000005,2012,Washed,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,0.1,10.0,0,0,5,83.5
371,Arabica,Colombia,1775.0,2012,Washed,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,0.11,10.0,0,0,0,83.5
